id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_komoditas,bulan,tanggal,harga_komoditas,satuan,tahun,day_of_year
1,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000001,27000,KILOGRAM,2023,1
2,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000002,27000,KILOGRAM,2023,1
3,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000003,27000,KILOGRAM,2023,1
4,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000004,28000,KILOGRAM,2023,1
5,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000005,28000,KILOGRAM,2023,1
6,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000006,28000,KILOGRAM,2023,1
7,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000007,28000,KILOGRAM,2023,1
8,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000008,28000,KILOGRAM,2023,1
9,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000009,28000,KILOGRAM,2023,1
10,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000010,29000,KILOGRAM,2023,1
11,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000011,28000,KILOGRAM,2023,1
12,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000012,28000,KILOGRAM,2023,1
13,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000013,28000,KILOGRAM,2023,1
14,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000014,28000,KILOGRAM,2023,1
15,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000015,31000,KILOGRAM,2023,1
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000016,31000,KILOGRAM,2023,1
17,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000017,32000,KILOGRAM,2023,1
18,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000018,34000,KILOGRAM,2023,1
19,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000019,34000,KILOGRAM,2023,1
20,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000020,32000,KILOGRAM,2023,1
21,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000021,32000,KILOGRAM,2023,1
22,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000022,32000,KILOGRAM,2023,1
23,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000023,32000,KILOGRAM,2023,1
24,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000024,31000,KILOGRAM,2023,1
25,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000025,34000,KILOGRAM,2023,1
26,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000026,37000,KILOGRAM,2023,1
27,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000027,36000,KILOGRAM,2023,1
28,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000028,36000,KILOGRAM,2023,1
29,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000029,36000,KILOGRAM,2023,1
30,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000030,37000,KILOGRAM,2023,1
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,JANUARI,1970-01-01 00:00:00.000000031,37000,KILOGRAM,2023,1
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000001,37000,KILOGRAM,2023,1
33,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000002,37000,KILOGRAM,2023,1
34,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000003,33000,KILOGRAM,2023,1
35,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000004,33000,KILOGRAM,2023,1
36,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000005,33000,KILOGRAM,2023,1
37,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000006,32000,KILOGRAM,2023,1
38,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000007,32000,KILOGRAM,2023,1
39,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000008,31000,KILOGRAM,2023,1
40,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000009,27000,KILOGRAM,2023,1
41,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000010,27000,KILOGRAM,2023,1
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000011,27000,KILOGRAM,2023,1
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000012,27000,KILOGRAM,2023,1
44,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000013,26000,KILOGRAM,2023,1
45,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000014,27000,KILOGRAM,2023,1
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000015,27000,KILOGRAM,2023,1
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000016,27000,KILOGRAM,2023,1
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000017,27000,KILOGRAM,2023,1
49,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000018,27000,KILOGRAM,2023,1
50,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000019,27000,KILOGRAM,2023,1
51,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000020,27000,KILOGRAM,2023,1
52,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000021,27000,KILOGRAM,2023,1
53,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000022,24000,KILOGRAM,2023,1
54,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000023,24000,KILOGRAM,2023,1
55,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000024,24000,KILOGRAM,2023,1
56,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000025,24000,KILOGRAM,2023,1
57,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000026,23000,KILOGRAM,2023,1
58,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000027,23000,KILOGRAM,2023,1
59,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,FEBRUARI,1970-01-01 00:00:00.000000028,25000,KILOGRAM,2023,1
60,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000001,25000,KILOGRAM,2023,1
61,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000002,25000,KILOGRAM,2023,1
62,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000003,27000,KILOGRAM,2023,1
63,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000004,27000,KILOGRAM,2023,1
64,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000005,27000,KILOGRAM,2023,1
65,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000006,30000,KILOGRAM,2023,1
66,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000007,26000,KILOGRAM,2023,1
67,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000008,25000,KILOGRAM,2023,1
68,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000009,26000,KILOGRAM,2023,1
69,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000010,24000,KILOGRAM,2023,1
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000011,24000,KILOGRAM,2023,1
71,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000012,24000,KILOGRAM,2023,1
72,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000013,25000,KILOGRAM,2023,1
73,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000014,25000,KILOGRAM,2023,1
74,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000015,25000,KILOGRAM,2023,1
75,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000016,25000,KILOGRAM,2023,1
76,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000017,25000,KILOGRAM,2023,1
77,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000018,23000,KILOGRAM,2023,1
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000019,23000,KILOGRAM,2023,1
79,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000020,25000,KILOGRAM,2023,1
80,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000021,25000,KILOGRAM,2023,1
81,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000022,25000,KILOGRAM,2023,1
82,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000023,25000,KILOGRAM,2023,1
83,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000024,25000,KILOGRAM,2023,1
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000025,25000,KILOGRAM,2023,1
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000026,25000,KILOGRAM,2023,1
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000027,26000,KILOGRAM,2023,1
87,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000028,21000,KILOGRAM,2023,1
88,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000029,23000,KILOGRAM,2023,1
89,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000030,18000,KILOGRAM,2023,1
90,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAWANG MERAH,MARET,1970-01-01 00:00:00.000000031,18000,KILOGRAM,2023,1
